,player_aces_frequency,player_double_fault_frequency,player_serve_won_frequency,player_points_won_frequency,player_completeness,player_advantage_on_serve,original_match_idx,nb_common_opponents,Sipko_uncertainty,Leo_uncertainty
76,"0,023760331","0,063016529","0,041322314","-0,01744186","-0,038231405","0,082644628",618,1,"1,234562607",5
77,"0,012037037","0,049074074","0,205555556","0,129651358","0,090423977","0,411111111",620,1,"1,120389214",5
78,"-0,022200772","-0,004343629","-0,017857143","0,063903782","0,075835866","-0,035714286",625,1,"1,33422317",5
79,"-0,017741935","0,025268817","0,037903226","0,070779221","0,040141047","0,075806452",628,1,"1,308578071",5
80,"0,065244461","0,012805651","0,048959431","0,05950833","0,088992886","0,097918862",633,1,"0,624126892",5
81,"0,07683249","-0,001569306","0,095552568","0,07718646","0,119394894","0,191105137",635,3,"0,415814352","1,666666667"
82,"-0,008281573","0,002415459","0,162180814","0,073230132","0,032180656","0,324361629",638,1,"1,210833084",5
83,"0,041279922","0,010503175","0,06753786","0,054973822","0,043210201","0,135075721",640,1,"1,187559666",5
84,"0,030125427","-0,016847508","0,054502334","0,058357486","0,064202645","0,109004668",641,2,"0,602577117","2,5"
85,"-0,221326092","-0,028562471","-0,055781748","-0,0289264","-0,016379174","-0,111563495",643,2,"0,427173099","2,5"
86,"0,045638064","0,023340437","0,014318836","0,002974527","-0,004946297","0,028637671",644,2,"0,653796436","2,5"
87,"-0,02229331","-0,037840841","0,005968532","-0,021243218","-0,042370103","0,011937064",646,1,"0,588017938",5
88,"-0,066536875","-0,040296685","0,089748471","0,048588439","0,033268152","0,179496942",649,3,"0,338018938","1,666666667"
89,"0,122501396","-0,012953657","0,196984925","0,123632843","0,137301894","0,393969849",650,1,"1,258757174",5
90,"0,130276344","-0,004555117","0,140601275","0,022547325","-0,005715309","0,281202551",652,1,"1,33422317",5
91,"6,18117E-05","-0,069138388","0,130228228","0,185844127","0,236045016","0,260456457",655,1,"0,647695996",5
92,"-0,049293433","0,091941011","-0,1343146","-0,12396487","-0,132018917","-0,268629201",656,1,"0,680057342",5
93,"0,057561155","-6,86466E-05","0,23676273","0,111698896","0,096381719","0,47352546",657,2,"0,565417613","2,5"
94,"0,03030303",0,"0,220538721","0,11577013","0,098981969","0,441077441",658,1,"1,142346247",5
95,"-0,040046888","0,002385519","0,035298685","0,126940031","0,168081564","0,070597369",661,2,"0,632695031","2,5"
96,"-0,069172631","0,041066403","-0,025951575","0,013318952","0,020125901","-0,05190315",662,1,"0,624126892",5
97,"-0,010535272","0,010080162","-0,084641665","-0,065878964","-0,063977533","-0,169283329",663,2,"0,435973702","2,5"
98,"0,097911942","0,034117887","0,073987511","0,071745049","0,094590955","0,147975022",664,2,"0,623271251","2,5"
99,"-0,009857978","-0,005179616","-0,255639098","-0,121151717","-0,113721805","-0,511278195",667,1,"1,418140036",5
100,"0,008791209","0,06043956","-0,058241758","-0,046804909","-0,019096204","-0,116483516",668,1,"1,33422317",5
101,"-0,057618129","-0,037849566","0,114030858","0,099456099","0,114933186","0,228061716",669,1,"1,187559666",5
102,"0,032366507","-0,04052395","0,039401906","-0,008855749","-0,018766794","0,078803812",670,1,"0,623388786",5
103,"0,072823444","0,011858605","0,089660699","-0,060448842","-0,091530923","0,179321398",674,2,"0,59366802","2,5"
104,"-0,026054591","0,08974359","0,018610422","0,170527875","0,195417701","0,037220844",676,1,"1,258757174",5
105,"-0,003692285","-0,017565455","-0,016518603","0,019620522","0,043506859","-0,033037206",678,1,"0,623036561",5
106,"-0,030175649","0,036531775","0,029267008","0,079734991","0,082676797","0,058534016",679,2,"0,599315973","2,5"
107,"-0,085714286","-0,042857143","0,124223602","0,234641482","0,281179138","0,248447205",680,1,"1,418140036",5
108,"-0,129645888","0,00468247","0,018437226","-0,041132479","-0,01466861","0,036874451",681,1,"1,234562607",5
109,"-0,036571932","-0,026768011","-0,006058603","0,031299735","0,039575531","-0,012117206",682,1,"1,387030969",5
110,"0,249364791","-0,044525106","0,175680581","0,075040266","0,054919627","0,351361162",683,1,"1,210833084",5
111,"0,114640048","-0,004990926","-0,019207502","-0,040752351","-0,057075015","-0,038415003",685,1,"1,258757174",5
112,"-0,076048951","0,009615385","0,065559441","0,079487179","0,055438443","0,131118881",686,1,"1,360370852",5
113,"0,113569386","0,007593662","-0,068151358","-0,09095621","-0,122650174","-0,136302716",689,2,"0,654165828","2,5"
114,"-0,123626374","0,024488443","-0,150562082","-0,112937852","-0,094901807","-0,301124163",695,2,"0,613752246","2,5"
115,"-0,025256521","-0,019551288","0,167179602","0,087532184","0,058057364","0,334359205",700,1,"0,650548401",5
116,"0,054757502","-0,026738728","0,013227137","-0,035493303","-0,030558674","0,026454274",703,1,"1,227735684",5
117,"-0,005554228","0,028684595","0,058293475","0,075388506","0,074228242","0,11658695",707,2,"0,641670417","2,5"
118,"0,136604988","-0,044247788","0,008045052","-0,053788406","-0,051109694","0,016090105",714,1,"1,352848231",5
119,"-0,001369327","0,013888889","0,075312989","-0,011037208","-0,009084976","0,150625978",715,1,"1,171210181",5
120,"0,12","-0,044761905","0,264761905","0,194386694","0,158793216","0,52952381",716,1,"1,490710387",5
121,"0,084848485","-0,025252525","-0,08989899","-0,029850746","0,01864421","-0,17979798",718,1,"1,265756594",5
122,"0,038517442","0,023255814","0,20494186","0,117900791","0,143201638","0,409883721",722,1,"1,352848231",5
123,"-0,057933069","0,007345575","0,06248062","0,062970244","0,072309424","0,124961241",725,2,"0,269869524","0,9147899"
124,"0,026970401","0,004178138","0,021604419","0,010397567","-0,006319565","0,043208838",726,2,"0,710020248","2,5"
125,"0,002696326","0,00421301","0,204583755","0,1040654","0,068659147","0,409167509",727,1,"1,241427492",5
126,"0,071637427","0,023066927","-0,042235218","-0,003095975","-0,004516318","-0,084470435",728,1,"1,352848231",5
127,"0,096412264","0,014872798","0,06927593","0,063380282","0,068941263","0,138551859",729,1,"1,433955248",5
128,"0,182552954","-0,024247492","0,059085842","0,045981773","0,072047332","0,118171683",731,1,"1,433955248",5
129,"-0,018950057","0,002495575","0,025998017","0,039592937","0,074198331","0,051996034",733,2,"0,709218687","2,5"
130,"0,056038596","0,013414732","-0,012193567","-0,004044965","-0,027882651","-0,024387133",734,2,"0,417258089","2,5"
131,"-0,041154791",0,"-0,178132678","-0,071969697","-0,062436581","-0,356265356",735,1,"1,171210181",5
132,"0,001236579","-0,025911569","0,011459842","0,014099857","0,005204253","0,022919684",736,2,"0,669860261","2,5"
133,"0,073308271","0,043233083","-0,069548872","0,054621849","0,088487042","-0,139097744",737,1,"1,294145654",5
134,"0,078612479","-0,057060755","0,089901478","0,048792332","0,026042203","0,179802956",738,1,"1,301341855",5
135,"0,121504324","-0,019103518","0,097496727","0,0092538","-0,02554017","0,194993455",739,2,"0,406802731","2,5"
136,"-0,089728225","-0,063844387","-0,047460486","0,017836054","0,03208234","-0,094920972",740,2,"0,66342257","2,5"
137,"0,172293823","-0,028466749","0,101619775","0,049797534","0,045967443","0,20323955",741,2,"0,568775833","2,5"
138,"-0,200459318","-0,054625984","-0,185367454","-0,125398904","-0,145845095","-0,370734908",742,1,"1,379360922",5
139,"0,097701149","-0,034482759","0,193349754","0,120448179","0,159232415","0,386699507",744,1,"1,379360922",5
140,"0,046972942","0,001882329","0,111511897","0,055105333","0,030839137","0,223023793",745,4,"0,307253807","1,25"
141,"0,015714286","0,043571429","0,160714286","-0,038611975","-0,064787451","0,321428571",746,1,"1,251796459",5
142,"0,005106383","-0,008085106","0,017163121","-0,023745485","-0,049124697","0,034326241",747,1,"1,227735684",5
143,"0,015065387","0,009083262","-0,088057486","-0,063134618","-0,063462035","-0,176114973",749,3,"0,400786101","1,666666667"
144,"-0,025316456","0,010782935","-0,213783404","-0,121151717","-0,106649729","-0,427566807",750,1,"1,352848231",5
145,"0,031306543","0,002973136","0,074480103","0,093631257","0,095510834","0,148960205",751,2,"0,453516664","2,5"
146,"0,016976735","0,067335106","-0,015717184","0,030155699","0,047318487","-0,031434368",753,3,"0,426136415","1,666666667"
147,"0,027649248","0,001939378","-0,029210528","-0,015659946","-0,036877683","-0,058421057",754,2,"0,592956886","2,5"
148,"-0,030555556","0,051388889","0,048611111","-0,029836281","-0,063556068","0,097222222",757,1,"1,326845141",5
149,"0,041666667","0,017857143","-0,011904762","0,053986711","0,086580087","-0,023809524",758,1,"1,148698355",5
150,"0,066036415","-0,023389356","0,018907563","0,0177457","-0,005168658","0,037815126",759,1,"1,241427492",5
151,"-0,112971555","-0,020911587","-0,045872873","0,02473117","0,02792501","-0,091745746",760,1,"0,653927066",5
152,"-0,245137047","-0,015251989","-0,158709107","-0,11945117","-0,106451685","-0,317418214",761,1,"1,126619228",5
153,"0,045294118","0,02","0,067647059","0,05734767","0,045682787","0,135294118",762,1,"1,379360922",5
154,"0,004239663","0,001789369","0,068072172","0,064185518","0,043511132","0,136144343",763,2,"0,555247017","2,5"
155,"-0,066649319","0,002426053","0,060176859","0,047448498","0,052848464","0,120353717",765,2,"0,695699908","2,5"
156,"-0,013396053","-0,005522037","0,12925657","0,081000162","0,102902628","0,25851314",766,1,"1,379360922",5
157,"-0,030391076","0,013634862","-0,099824177","0,000431968","0,016266311","-0,199648353",767,3,"0,461147179","1,666666667"
158,"0,024028966","0,032718894","0,046609612","0,003378378","-0,007903751","0,093219223",768,1,"1,352848231",5
159,"0,051249574","-0,000893225","-0,011726555","0,023116268","0,055467708","-0,023453111",769,3,"0,42807816","1,666666667"
160,"0,115279503","0,02484472","0,051097308","-0,035254934","-0,080459744","0,102194617",770,1,"1,301341855",5
161,"0,041132075","0,001132075","0,020754717","0,041474654","0,035785841","0,041509434",771,1,"1,352848231",5
162,"0,053100054","-0,003301558","0,149837247","0,076198964","0,0667106","0,299674494",772,2,"0,694636041","2,5"
163,"-0,021990741","0,012731481","-0,053240741","-0,091147245","-0,093641063","-0,106481481",773,1,"1,251796459",5
164,"0,032366507","-0,04052395","0,039401906","-0,008855749","-0,018766794","0,078803812",774,1,"0,669986582",5
165,"0,141641176","-0,000531986","0,102008246","0,074571954","0,03955555","0,204016492",775,1,"1,379360922",5
166,"-0,068181818","-0,024147727","0,068181818","0,086037408","0,119869359","0,136363636",776,1,"1,126619228",5
167,"0,105517799","0,014209726","0,091477693","0,036687412","0,022461257","0,182955386",777,2,"0,62201233","2,5"
168,"-0,101339128","-0,011930204","-0,056733571","-0,060907557","-0,079549663","-0,113467142",778,3,"0,304333378","1,666666667"
169,"0,114070287","-0,009347645","0,071404427","-0,022582256","-0,05712258","0,142808855",779,3,"0,309987003","1,666666667"
170,"0,019333698","0,00051237","0,035204616","-0,016759732","-0,048637034","0,070409232",780,3,"0,458949888","1,666666667"
171,"-0,028298478","-0,049131045","0,053898793","0,073488474","0,084431491","0,107797586",785,2,"0,500617393","2,5"
172,"-0,02080804","-0,033783251","-0,091897932","-0,085956599","-0,092235168","-0,183795864",790,2,"0,62174601","2,5"
173,"-0,020151731","-0,004030346","-0,070649597","0,028116827","0,040570092","-0,141299194",795,1,"1,231144413",5
174,"-0,024614193","-0,009126611","-0,082858565","-0,012074856","0,022561196","-0,16571713",796,1,"1,445932295",5
175,"0,058118187","-0,023121056","0,057831325","0,051487904","0,023524926","0,115662651",798,1,"1,279872414",5
176,"0,023219814","-0,004127967","0,115583075","0,109498468","0,113589455","0,231166151",799,1,"1,379360922",5
177,"-0,086210848","-0,024111917","-0,064266616","-0,064837398","-0,06618558","-0,128533231",801,2,"0,633930791","2,5"
